"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275","test_sort_by_price","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_catalog","",""
"","445","test_remove_items_from_cart","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_basket","",""
"","333","test_remove_item_from_cart","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_basket","",""
"","230","test_remove_item_from_catalog","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_catalog","",""
"","226","test_count_catalog","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_catalog","",""
"","286","test_product_details_onesie","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_catalog","",""
"","315","test_auth","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_auth","",""
"","354","test_checkout_without_items","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_basket","",""
"","1180","test_logout","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_auth","",""
"","309","test_add_item_and_check_in_cart","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_basket","",""
"","260","test_login_locked_out_user","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_auth","",""
"","446","test_checkout_multiple_items","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_basket","",""
"","275","test_product_details_fleece_jacket","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_catalog","",""
"","1162","test_logout_visual_user","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_auth","",""
"","272","test_sorted_by_name","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_catalog","",""
"","317","test_add_and_remove_onesie","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_catalog","",""
"","345","test_add_items_and_check_in_cart","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_basket","",""
"","287","test_add_to_cart","src.main.ui.tests","2026-08-30","passed","2026-08-30","","test_catalog","",""
